survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,3,male,22.0,1,0,7.25,s,third,man,True,,southampton,no,False
1,1,female,38.0,1,0,71.2833,c,first,woman,False,c,cherbourg,yes,False
1,3,female,26.0,0,0,7.925,s,third,woman,False,,southampton,yes,True
1,1,female,35.0,1,0,53.1,s,first,woman,False,c,southampton,yes,False
0,3,male,35.0,0,0,8.05,s,third,man,True,,southampton,no,True
0,3,male,29.69911764705882,0,0,8.4583,q,third,man,True,,queenstown,no,True
0,1,male,54.0,0,0,51.8625,s,first,man,True,e,southampton,no,True
0,3,male,2.0,3,1,21.075,s,third,child,False,,southampton,no,False
1,3,female,27.0,0,2,11.1333,s,third,woman,False,,southampton,yes,False
1,2,female,14.0,1,0,30.0708,c,second,child,False,,cherbourg,yes,False
1,3,female,4.0,1,1,16.7,s,third,child,False,g,southampton,yes,False
1,1,female,58.0,0,0,26.55,s,first,woman,False,c,southampton,yes,True
0,3,male,20.0,0,0,8.05,s,third,man,True,,southampton,no,True
0,3,male,39.0,1,5,31.275,s,third,man,True,,southampton,no,False
0,3,female,14.0,0,0,7.8542,s,third,child,False,,southampton,no,True
1,2,female,55.0,0,0,16.0,s,second,woman,False,,southampton,yes,True
0,3,male,2.0,4,1,29.125,q,third,child,False,,queenstown,no,False
1,2,male,29.69911764705882,0,0,13.0,s,second,man,True,,southampton,yes,True
0,3,female,31.0,1,0,18.0,s,third,woman,False,,southampton,no,False
1,3,female,29.69911764705882,0,0,7.225,c,third,woman,False,,cherbourg,yes,True
0,2,male,35.0,0,0,26.0,s,second,man,True,,southampton,no,True
1,2,male,34.0,0,0,13.0,s,second,man,True,d,southampton,yes,True
1,3,female,15.0,0,0,8.0292,q,third,child,False,,queenstown,yes,True
1,1,male,28.0,0,0,35.5,s,first,man,True,a,southampton,yes,True
0,3,female,8.0,3,1,21.075,s,third,child,False,,southampton,no,False
1,3,female,38.0,1,5,31.3875,s,third,woman,False,,southampton,yes,False
0,3,male,29.69911764705882,0,0,7.225,c,third,man,True,,cherbourg,no,True
0,1,male,19.0,3,2,263.0,s,first,man,True,c,southampton,no,False
1,3,female,29.69911764705882,0,0,7.8792,q,third,woman,False,,queenstown,yes,True
0,3,male,29.69911764705882,0,0,7.8958,s,third,man,True,,southampton,no,True
0,1,male,40.0,0,0,27.7208,c,first,man,True,,cherbourg,no,True
1,1,female,29.69911764705882,1,0,146.5208,c,first,woman,False,b,cherbourg,yes,False
1,3,female,29.69911764705882,0,0,7.75,q,third,woman,False,,queenstown,yes,True
0,2,male,66.0,0,0,10.5,s,second,man,True,,southampton,no,True
0,1,male,28.0,1,0,82.1708,c,first,man,True,,cherbourg,no,False
0,1,male,42.0,1,0,52.0,s,first,man,True,,southampton,no,False
1,3,male,29.69911764705882,0,0,7.2292,c,third,man,True,,cherbourg,yes,True
0,3,male,21.0,0,0,8.05,s,third,man,True,,southampton,no,True
0,3,female,18.0,2,0,18.0,s,third,woman,False,,southampton,no,False
1,3,female,14.0,1,0,11.2417,c,third,child,False,,cherbourg,yes,False
0,3,female,40.0,1,0,9.475,s,third,woman,False,,southampton,no,False
0,2,female,27.0,1,0,21.0,s,second,woman,False,,southampton,no,False
0,3,male,29.69911764705882,0,0,7.8958,c,third,man,True,,cherbourg,no,True
1,2,female,3.0,1,2,41.5792,c,second,child,False,,cherbourg,yes,False
1,3,female,19.0,0,0,7.8792,q,third,woman,False,,queenstown,yes,True
0,3,male,29.69911764705882,0,0,8.05,s,third,man,True,,southampton,no,True
0,3,male,29.69911764705882,1,0,15.5,q,third,man,True,,queenstown,no,False
0,3,male,29.69911764705882,2,0,21.6792,c,third,man,True,,cherbourg,no,False
0,3,female,18.0,1,0,17.8,s,third,woman,False,,southampton,no,False
0,3,male,7.0,4,1,39.6875,s,third,child,False,,southampton,no,False
0,3,male,21.0,0,0,7.8,s,third,man,True,,southampton,no,True
1,1,female,49.0,1,0,76.7292,c,first,woman,False,d,cherbourg,yes,False
1,2,female,29.0,1,0,26.0,s,second,woman,False,,southampton,yes,False
0,1,male,65.0,0,1,61.9792,c,first,man,True,b,cherbourg,no,False
1,1,male,29.69911764705882,0,0,35.5,s,first,man,True,c,southampton,yes,True
1,2,female,21.0,0,0,10.5,s,second,woman,False,,southampton,yes,True
0,3,male,28.5,0,0,7.2292,c,third,man,True,,cherbourg,no,True
1,2,female,5.0,1,2,27.75,s,second,child,False,,southampton,yes,False
0,3,male,11.0,5,2,46.9,s,third,child,False,,southampton,no,False
0,3,male,22.0,0,0,7.2292,c,third,man,True,,cherbourg,no,True
1,1,female,38.0,0,0,80.0,,first,woman,False,b,,yes,True
0,1,male,45.0,1,0,83.475,s,first,man,True,c,southampton,no,False
0,3,male,4.0,3,2,27.9,s,third,child,False,,southampton,no,False
0,1,male,29.69911764705882,0,0,27.7208,c,first,man,True,,cherbourg,no,True
1,3,male,29.69911764705882,1,1,15.2458,c,third,man,True,,cherbourg,yes,False
1,2,female,29.0,0,0,10.5,s,second,woman,False,f,southampton,yes,True
0,3,male,19.0,0,0,8.1583,s,third,man,True,,southampton,no,True
1,3,female,17.0,4,2,7.925,s,third,woman,False,,southampton,yes,False
0,3,male,26.0,2,0,8.6625,s,third,man,True,,southampton,no,False
0,2,male,32.0,0,0,10.5,s,second,man,True,,southampton,no,True
0,3,female,16.0,5,2,46.9,s,third,woman,False,,southampton,no,False
0,2,male,21.0,0,0,73.5,s,second,man,True,,southampton,no,True
0,3,male,26.0,1,0,14.4542,c,third,man,True,,cherbourg,no,False
1,3,male,32.0,0,0,56.4958,s,third,man,True,,southampton,yes,True
0,3,male,25.0,0,0,7.65,s,third,man,True,f,southampton,no,True
1,2,male,0.83,0,2,29.0,s,second,child,False,,southampton,yes,False
1,3,female,30.0,0,0,12.475,s,third,woman,False,,southampton,yes,True
0,3,male,22.0,0,0,9.0,s,third,man,True,,southampton,no,True
1,3,male,29.0,0,0,9.5,s,third,man,True,,southampton,yes,True
1,3,female,29.69911764705882,0,0,7.7875,q,third,woman,False,,queenstown,yes,True
0,1,male,28.0,0,0,47.1,s,first,man,True,,southampton,no,True
1,2,female,17.0,0,0,10.5,s,second,woman,False,,southampton,yes,True
1,3,female,33.0,3,0,15.85,s,third,woman,False,,southampton,yes,False
0,3,male,16.0,1,3,34.375,s,third,man,True,,southampton,no,False
1,1,female,23.0,3,2,263.0,s,first,woman,False,c,southampton,yes,False
0,3,male,24.0,0,0,8.05,s,third,man,True,,southampton,no,True
0,3,male,29.0,0,0,8.05,s,third,man,True,,southampton,no,True
